time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City,State
2018-01-01,21.0,15.6,26.7,0.0,0.0,,7.9,,1018.9,,Miami,Florida
2018-01-02,17.7,13.9,22.2,6.1,0.0,355.0,16.2,,1017.9,,Miami,Florida
2018-01-03,18.4,11.7,20.6,12.7,0.0,322.0,15.8,,1014.1,,Miami,Florida
2018-01-04,11.6,6.7,15.6,0.0,0.0,316.0,14.4,,1019.9,,Miami,Florida
2018-01-05,12.1,7.8,17.8,0.0,0.0,341.0,10.8,,1025.1,,Miami,Florida
2018-01-06,14.4,9.4,21.1,0.0,0.0,349.0,13.3,,1026.2,,Miami,Florida
2018-01-07,16.2,11.7,22.8,0.0,0.0,25.0,16.9,,1025.2,,Miami,Florida
2018-01-08,21.3,16.7,26.1,0.3,0.0,90.0,18.4,,1020.0,,Miami,Florida
2018-01-09,22.6,20.0,25.6,0.5,0.0,74.0,7.6,,1016.6,,Miami,Florida
2018-01-10,22.3,19.4,26.1,1.0,0.0,55.0,7.6,,1015.8,,Miami,Florida
2018-01-11,23.7,20.6,27.2,0.0,0.0,130.0,14.0,,1015.9,,Miami,Florida
2018-01-12,24.7,22.2,28.9,2.5,0.0,168.0,16.6,,1014.6,,Miami,Florida
2018-01-13,22.5,14.4,24.4,0.0,0.0,299.0,11.5,,1019.0,,Miami,Florida
2018-01-14,16.6,11.7,23.3,0.0,0.0,342.0,15.5,,1023.3,,Miami,Florida
2018-01-15,17.1,12.2,24.4,0.0,0.0,347.0,15.1,,1023.8,,Miami,Florida
2018-01-16,20.2,16.7,24.4,0.0,0.0,12.0,13.7,,1024.1,,Miami,Florida
2018-01-17,19.7,13.9,23.3,0.0,0.0,328.0,11.5,,1022.6,,Miami,Florida
2018-01-18,13.5,6.7,17.8,0.0,0.0,336.0,15.1,,1024.8,,Miami,Florida
2018-01-19,14.3,10.0,22.8,0.0,0.0,15.0,10.8,,1024.3,,Miami,Florida
2018-01-20,19.8,16.1,25.0,0.0,0.0,34.0,9.0,,1023.0,,Miami,Florida
2018-01-21,23.1,20.6,26.7,0.0,0.0,87.0,18.4,,1020.9,,Miami,Florida
2018-01-22,23.8,21.1,27.2,0.0,0.0,109.0,18.4,,1018.8,,Miami,Florida
2018-01-23,24.9,22.8,28.9,0.0,0.0,137.0,13.3,,1017.6,,Miami,Florida
2018-01-24,24.1,20.6,27.8,0.3,0.0,14.0,9.7,,1019.6,,Miami,Florida
2018-01-25,22.0,18.3,23.9,0.0,0.0,29.0,19.4,,1023.7,,Miami,Florida
2018-01-26,22.7,18.9,25.6,0.0,0.0,67.0,30.2,,1026.2,,Miami,Florida
2018-01-27,23.6,20.6,26.7,0.0,0.0,88.0,31.0,,1024.2,,Miami,Florida
2018-01-28,24.4,22.2,27.8,0.0,0.0,112.0,26.3,,1019.8,,Miami,Florida
2018-01-29,25.4,20.0,28.9,2.3,0.0,222.0,16.6,,1015.3,,Miami,Florida
2018-01-30,19.8,13.3,22.8,0.0,0.0,342.0,16.9,,1020.0,,Miami,Florida
2018-01-31,16.9,12.2,23.3,0.0,0.0,28.0,13.0,,1022.7,,Miami,Florida
2018-02-01,20.6,14.4,26.1,0.0,0.0,110.0,9.7,,1021.8,,Miami,Florida
2018-02-02,22.3,17.8,27.8,0.0,0.0,1.0,5.8,,1021.2,,Miami,Florida
2018-02-03,21.8,19.4,23.9,3.0,0.0,49.0,14.0,,1021.6,,Miami,Florida
2018-02-04,23.3,20.6,26.7,0.0,0.0,132.0,15.8,,1018.6,,Miami,Florida
2018-02-05,24.0,21.1,28.9,0.0,0.0,67.0,10.1,,1019.7,,Miami,Florida
2018-02-06,23.6,21.1,26.1,0.0,0.0,85.0,16.9,,1023.6,,Miami,Florida
2018-02-07,24.6,22.2,28.3,0.0,0.0,101.0,16.9,,1022.9,,Miami,Florida
2018-02-08,25.0,22.8,28.9,0.0,0.0,91.0,14.8,,1023.0,,Miami,Florida
2018-02-09,25.1,22.2,28.3,1.0,0.0,89.0,19.1,,1022.5,,Miami,Florida
2018-02-10,25.0,22.2,28.9,0.0,0.0,108.0,20.5,,1021.3,,Miami,Florida
2018-02-11,25.6,23.9,29.4,0.0,0.0,125.0,21.2,,1020.9,,Miami,Florida
2018-02-12,25.9,23.9,28.9,0.0,0.0,110.0,18.7,,1024.4,,Miami,Florida
2018-02-13,25.7,22.8,29.4,0.0,0.0,83.0,18.0,,1027.4,,Miami,Florida
2018-02-14,25.3,22.2,28.3,0.0,0.0,91.0,16.6,,1027.1,,Miami,Florida
2018-02-15,24.2,19.4,27.8,0.0,0.0,90.0,9.4,,1025.1,,Miami,Florida
2018-02-16,23.2,17.8,28.3,0.0,0.0,172.0,7.2,,1022.6,,Miami,Florida
2018-02-17,23.8,18.9,28.9,0.0,0.0,,8.3,,1022.4,,Miami,Florida
2018-02-18,24.5,21.1,28.9,0.0,0.0,77.0,14.4,,1022.9,,Miami,Florida
2018-02-19,24.5,21.1,28.9,2.5,0.0,95.0,24.5,,1023.8,,Miami,Florida
2018-02-20,25.9,22.8,28.9,0.0,0.0,98.0,27.7,,1025.4,,Miami,Florida
2018-02-21,25.3,23.3,28.3,0.0,0.0,94.0,27.0,,1026.8,,Miami,Florida
2018-02-22,24.9,22.2,28.3,0.3,0.0,85.0,22.7,,1026.7,,Miami,Florida
2018-02-23,24.8,22.2,27.8,0.5,0.0,89.0,24.5,,1025.6,,Miami,Florida
2018-02-24,24.4,21.7,27.8,0.0,0.0,103.0,21.2,,1022.2,,Miami,Florida
2018-02-25,24.6,21.7,27.8,0.0,0.0,114.0,15.8,,1021.2,,Miami,Florida
2018-02-26,24.3,21.7,28.9,0.5,0.0,144.0,11.5,,1021.4,,Miami,Florida
2018-02-27,24.1,20.0,29.4,1.5,0.0,35.0,10.1,,1021.1,,Miami,Florida
2018-02-28,24.4,21.1,27.2,0.0,0.0,89.0,15.8,,1019.2,,Miami,Florida
2018-03-01,24.0,19.4,28.9,0.0,0.0,158.0,10.1,,1017.5,,Miami,Florida
2018-03-02,24.8,20.6,31.1,0.0,0.0,313.0,9.4,,1017.4,,Miami,Florida
2018-03-03,22.3,16.7,26.7,0.0,0.0,348.0,11.9,,1017.7,,Miami,Florida
2018-03-04,19.5,15.0,26.1,0.0,0.0,354.0,14.4,,1017.6,,Miami,Florida
2018-03-05,19.0,14.4,24.4,0.0,0.0,20.0,9.4,,1017.5,,Miami,Florida
2018-03-06,20.2,14.4,25.6,0.0,0.0,,10.1,,1016.9,,Miami,Florida
2018-03-07,21.9,18.3,28.3,4.3,0.0,235.0,13.7,,1015.2,,Miami,Florida
2018-03-08,18.8,13.9,22.8,0.0,0.0,304.0,14.4,,1017.5,,Miami,Florida
2018-03-09,16.2,11.7,22.2,0.0,0.0,23.0,12.2,,1020.2,,Miami,Florida
2018-03-10,19.6,13.9,25.6,0.0,0.0,84.0,15.5,,1017.6,,Miami,Florida
2018-03-11,24.3,21.1,30.6,0.0,0.0,205.0,15.5,,1012.7,,Miami,Florida
2018-03-12,23.7,15.0,25.6,0.5,0.0,238.0,17.6,,1011.1,,Miami,Florida
2018-03-13,17.2,11.1,23.3,0.0,,345.0,11.2,,1016.9,,Miami,Florida
2018-03-14,17.4,12.8,22.8,0.0,0.0,324.0,12.6,,1018.0,,Miami,Florida
2018-03-15,17.1,10.6,23.9,0.0,0.0,3.0,9.4,,1020.3,,Miami,Florida
2018-03-16,19.2,12.2,25.0,0.0,0.0,109.0,9.0,,1019.3,,Miami,Florida
2018-03-17,21.4,16.7,26.7,0.0,0.0,,9.0,,1018.1,,Miami,Florida
2018-03-18,23.1,17.8,30.0,0.0,0.0,239.0,8.6,,1014.8,,Miami,Florida
2018-03-19,24.5,18.9,30.0,0.0,0.0,224.0,10.4,,1011.4,,Miami,Florida
2018-03-20,25.8,21.7,31.7,0.0,0.0,215.0,19.1,,1010.5,,Miami,Florida
2018-03-21,24.1,15.6,27.2,0.0,0.0,275.0,17.6,,1014.0,,Miami,Florida
2018-03-22,17.9,13.9,22.8,0.0,0.0,327.0,12.6,,1021.5,,Miami,Florida
2018-03-23,18.1,11.7,25.0,0.0,0.0,341.0,10.1,,1023.0,,Miami,Florida
2018-03-24,20.4,16.7,24.4,0.0,0.0,68.0,12.6,,1021.8,,Miami,Florida
2018-03-25,22.0,17.8,26.7,0.0,0.0,148.0,9.7,,1019.3,,Miami,Florida
